Non Sarcastic Cyberbullying Sentences,Labels
"love frat boy w/ soft long soles""",0
"This new twitter is confusing the shit out of me."""" Go back to south america bitch""",0
"but what if he actually does choose the ugly bitch over you? """"Her ass must be fat!""",0
"People always asking me what I'm mixed with."""" She a bad asian bitch lol""",0
"Ariza is a snake and a coward"""" but at least he isn't a cripple like your hero Roach lmaoo",0
"I think worst advice I gave you was """" don't be a pussy and speed up"""" lol""""""",0
"I hate when strippers tell you they're """"dancers"""". Hoe, ballet dancers don't pop their pussy to Beethoven. You a STRIPPER!""""""",0
When bitches TWERK on the computer..,0
61% of welfare/government aid is claimed by white people. So y'all black slander is trash now.,0
These bitches don't care they just play that role.,0
"Fat hoes get chose"""" lol""",0
"well they're hoes,no one expects them to be loyal""",0
"Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"""" lmaooo""",0
"Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls"""" lol bitch fuck you""",0
"""""I don't want to have sex with my gf because I feel like I'm using her.."""" - anonymous"""" Whata faggot""",0
"If ya bitch always bitching clearly she care!"""" Or just an annoying Bitch!""",0
Can't worry about a bitch that ain't worried bout me,0
Side hoes are for insecure niggas that can't handle a real one.,0
Lmao! This bitch come scooting in the tent like she about to fuck some shit up!,0
 USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team ,0
"Guess what? I also have zero time for your mansplaining! Adios!"""" Stfu pussy""",0
"You ain't ever gonna be a slice bitch, Kevin hart",0
 Would you still love me when I'm no longer young and beautiful? No. Ugly monkey ass,0
"yea, I'm on my iPad. I don't work this Friday. Let's ball this faggot up ,I work 2-5",0
"BOBBY BITCH-by  be getting me live as fuck"""" hell yea i play that hoe before my workout",0
": I can ride your bitch with no handle bars""""",0
"And if you ain't a hoe get up out my traphoussseeeee""""""",0
On my way to fuck your bitch,0
whys this bitch boosting herself,0
"I only punch real niggas in the face cause a pussy Nigga is gonna punch me right back"""" Strong Mush or Shake..",0
"Sad knowing that most hoes won't fuck with you because you ain't got stacks."""" wait till friday""",0
"There's a lane some bitches need to stay in """" the left n get right the fuck outta our face",0
"oooh shit bitches betta stay out da streets""",0
bitches hold they nigga down when he get locked up... but if a nigga go to college or the military it's a different story.,0
"No love for these fuck niggas"""" hoes*""",0
naw this what you call fucking the soul outta bitch,0
"Lets get drunk, get blowed, spit shit spark blunts and fuck hoes!"""" Bro white dudes have no chill.""",0
"I would wife a hoe only cuz we wouldn't care that we cheating in each other.""",0
"bitch where u been"""" Around the world and back. Where you been?""",0
 if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it of,0
" Damn near gotta protect my tweets.. stalkers being annoying"""" you got that dope dick. Drive these bitches loco""",0
"cinco shit harder fucc nigga""""yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca""",0
"""Hey go look at that video of the man that found the kidnapped girls in Ohio........what a nigger"""" """,0
"""Hey pussy you still there?""",0
"""How about we draft all those gung-ho folks and send them to Afghanistan or other war zones so they can show their..",0
"""I got a bitch set it off like jada picket..queen latifah you riding round with your nieces bitch you titi""",0
"""I hope you don't get mad, ladies. I only call you bitches 'bitches' because I don't know your names individually.""""",0
"""I know that shit eatin grin! You either just fucked the girl of your dreams or you sold a car. We know you're a faggot. What'd you sell?",0
I'll beat on that pussy so hard,0
"I'll slit your throat-neck""""",0
"I'm comparing KFC to the pussy""",0
I'm downloading you a new personality and ordering you a new face!,0
I'm sorry I fucked yo bitch... But she really dig a nigga,0
"""I'm gonna piss on your dimple",0
 irritable bitch syndrome.,0
If you talk back to me you ain't getting no pussy,0
"If you're a bad bitch put your hands up high"""" Every girl in the classroom starts waving there hands around.",0
It's never too late to tag a bitch,0
"Julia Roberts, you're a ho",0
Like... correct me if I'm wrong but... Doesn't pimpin involve 'smackin bitches for money'?,0
"""Maybe she wants to be more than your friend or maybe she's a stupid bitch. You never know until you make her cum.",0
"""""My momma told me to tell you to mind yoooo damn motha fuckin business you 2+2 not knowin what it is bitch!",0
"""""My twitter was hacked"""" = I'm too pussy to admit that I said it and now I want to act like I never said it.""",0
"Niggas always yelling """"Fuck bitches, Get money"""" meanwhile they're broke and still want the bitches",0
"""No boats and hoes please thanks",0
"On top of that, she just a pregnant ass sorry hoe. Aint never got no money. Even her water broke.""",0
Did a pierced pussy just come across my timeline,0
"""Pistol whip my Dickau, shoot yo bitch club up.""""Sometimes freestyles be freestyles",0
"Remy Machiavelli send shots to ya belly""""  my bitch",0
"""Roberto you are one nasty hoe""",0
"""She gotta shape up her pussy lips tho  Whole wheat organic pussy",0
"""She said wigga man you rich...take the du-rag off""",0
"She was a bitch anyway""",0
"""She's from Florida so you've got to do the sniff test in those swamp pussies""""",0
"""""Slow the fuck down, bitch, I know where you live!",0
"""Stop looking us and go eat some pussy, you yuppie fucks.""",0
"""Takin it straight to dirt, why finger the pussy when I know I can put my dick in it?",0
"""That ain't bro moves, that's hoe moves",0
"""That girl is plain looking borderline ugly and chunky"""".",0
"""""These hoes keep callin but I ain't pickin up",0
"""These sour apple bitter bitches, I'm not fuckin wit em""",0
"""They have some ghetto ass bands"""" * gets snuck",0
"""This is for all the fans that waited, the bitch niggas that hated / Old hoes we dated, look mama",0
"""This is for my ghetto motherfuckers"""" -Missy Elliott""",0
"Those ratchet broads don't represent me but YOUR white ass can't talk trash about them 'cause you on racist shit"""" Black""",0
"that's why I luv u fat bitches cuz y'all got some big ole titties and phat booties""""""",0
"We hate niggers, we hate faggots and we hate spics""",0
"""When im done with a hoe i pass her to the squad"""" G!!!!!!!!!!!!!!!!",0
"""Who the fuck you callin jiggaboo, nigga?!""",0
"Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags walking down the street holding hands an""",0
"""Why u being such a little bitch chris you ain't six bitch"""" - Allisons Mom""",0
"Wow you are a bitch"""" Yes that's already been established, anything else you have to say?""",0
"""Yo can I sublet your pussy""",0
"Yo bitch on the horn. Tryna shoot a porn."""" ",0
"You and yo boys some pussy cats.""""",0
"""You are a cunt""",0
"""You can pull more pussy with a dodge and collect them panties alright."""" -stormy and jake",0
"""You don't like us colored folks, what the he'll you're not colored you white fucks""",0
"""You ol trout mouth ass bitch"""" DEEEEAAAADD""",0
"You talk like a fag and your shit's retarded. But that's cool scro, lot's of tards out there living total kick-ass lives!""",0
"""Why would you wanna be the Green Ranger? He's evil!"""" Duh bitch""",0
niggas bitches bitch ass niggas dike ass hoes black ass and bright ass hoes fag tags and scally wags,0
"""omg this bitch is fucking stupid I swear",0
"when guys say """"Latinas, they mean the Kim Kardashian looking girls not you bitches that shaped like a mini fridge and smell like tortillas""""""",0
"you better pipe your pussy down over there""",0
"""""you fucking pussy you couldn't even beat your dick.",0
"you're being a cunt right now""",0
"BOB Bass over bitches @HankJohnson11 bitches on his dick, fishes on the dock""",0
California is full of white trash who moved from Oklahoma,0
"ChristianBale should be KISSING Moses ass for his fight with God, OTHERWISE WE MIGHT ALL BE FUCKING DEAD and #retarded #ass #actor #faggot""",0
why cus French Montana's bitch ass?? you fucks that think selling drugs is cool are the LAMEST POSERS!!,0
you were fat as hell and were a band faggot. Thank god you played sports after 6th grade and didnt stay in band,0
HAHA!!! You fuckin' retarded commies!!!,0
.sure. Celebrate over 1 BILLION bird deaths and blame it on #climatechange you fuckin' #commies.,0
ThingsNotToDoOnAFirstDate give her all da dick U gotta half stroke da pussy because if u dump dick on dat bitch she gon become extremely anoyin,0
lil bitch follow me !,0
ToMyFutureSon You can fuck dem hoes but you better not love dem hoes.,0
"TrayvonMartin referred to Zimmerman as a """"creepy ass cracker"""". Racist thug.""",0
Virginia is full of white trash.,0
it can make a bitch cheat up to four points on the scale of 1 to 10,0
YesWeDid .....tattoo our bitches to corrupt as many men as possible to Egypt and being a cattle ,0
YouWillNotBeTakenSeriouslyIf you're proud to be white trash ,0
There are a few badd ones but idk..mixxed bitches is really where its at tho,0
"""""faggots are MERELY a scientific indicator that SOMETHING IS WRONG and Do not celebrate as """"unique indiviuals"""" for they are cancer",0
snappy pappy and his bitch,0
 this bitch has his nose pierced,0
nowplaying witcha bitch pussy pussy inda hood ona sofa.wit plastic on it,0
 if you a hoe an try to get serious with someone don't expect to be anything more then a piece of meat to them,0
#tbt to when you used to be good at rapping...now you are a bitch,0
 my bitch suck it up ,0
"""everytime I come in the kitchen you in the kitchen, in the goddamn refrigerator. Eatin up all the pussy""",0
x factor au sick of guys who sing like pussies. Where are the rock type men?,0
you are more attractive if u a real bitch,0
$100 bid to go on a date with Zack Morris oh that dreamy son of a bitch,0
"""$60 torch down the drain cause either I was to high and lost it or one of my """"niggas"""" finessed that hoe fuckkkkk ittt""",0
Josh Smith dropped a killer trash talk line on Kenneth,0
A piece of pussy,0
" Anyway fuck you hoes, eat a salad",0
Every bitch n my passenger seat I dun fucked at least one time,0
dirty whore. I love you. but you a hoe. but I love you. Jesus is watching.,0
This hoe got a school shirt on sucking,0
A lotta fck niggas on this here Twitter. Really be talking like bitches.,0
These bitches started shooting at my party. Fuck New Orleans,0
"Nigga was smashing his hoe, had his hoe paying for a condo and he still with her   ,Yep Fucboy""",0
Don't like me ??? Have a thing with the rest of the bitches waiting for me to give a fuck,0
Bet y'all bitches was deaf to MC Lyte's words about being treated like a queen huh,0
One'a y'all b!tches gon end up dead over a screen shot thinkn that sh!t funny...ain't too many niccas gon laugh at that b!,0
"congrats you've turned a hoe into a housewife, don't get shitty when your guys start singing they hit it first.",0
got ur bitch tip toeing on my marble floors.......,0
you needa stop sucking dick hoe,0
"""OMG LIL B FOLLOWED ME YASSSS"""" bitch he follow everybody shut yo ass up",0
pussy ride dick like she a Jamaican ,0
Loyal pussy my bitch,0
 This is the most important thing. All this temporary bullshit and lies is fa the birds. Kill that !,0
 Racist all month .. Fuck u honkey,0
Gucci b having me on my rude shit!!!  that bitch aint worth a quarter ,0
Mimi too old to be covering her titties during sex!! bitch you childish,0
 If you watching porn and beating off and yo homie text u and it show his name in the banner you're a faggot,0
bruh these hoes gotta be stupid.,0
Of course Cooder's nudes are trash. She lives in the ruins what did you expect?,0
fucc nicca yu pose to be pullin up,0
"niggas sending screenshots of me to they bitches like """" stop texting cuh """,0
Nicca gotta team full of worsum hoes,0
"this hoe just DM'd me sayin """"never give up in your dreams""""...fuckin fortune cookie ass hoe, fuck out my DM's",0
burnt pussy lips,0
you a faggot if you eat pork chops.,0
You a hoe if ya grandma got a tattoo.,0
cheap hair.. cheap dresses.. cheap shoes.. tacky ass little bitches,0
Them 1st 48 Charlotte goon niccas gon Fkkk around and burn Bank Of America stadium down,0
"My fucking god bruh, the birds from southridge are in front of my house",0
I have to explore the pussy out ther,0
"WTF kinda pussy my mom think I got, buying this shit.",0
I hate when people get on my bad side cause I honestly don't like to act like a bitch,0
"haahaa ,dumb bitch""",0
Still can't see what niggers see in them white hoes..,0
so many pretty bitches coming to my birthday dinner,0
Every week them hoes partying ! I see them hoes in every city partying for an event,0
"you've been a good as friend to me , glad I got your honkie ass. Let's fuck shit up this year",0
I hate ya bitch ass,0
So the new wave is bitches wearing mini shovels on their hand,0
damn roaches got dicks n pussy to be doing this lol???,0
swear to God bitch I'm bouta delete my twitter account,0
this fucking bitch Rachel needs to die please,0
ugly bitches like you get no love,0
 Y'all be tweakin wit that WCE shit. Ain't no way in hell u like that bitch every single day.,0
Niggaz get free pussy off of bounce beats alone,0
Good pussy don't neva get tired!!,0
I swear Niggas use to step one foot off the bus and bitches would be like NEXTTTT,0
that bitch is from Moreno Valley.,0
They recruited buku fags in here!..a warehouse is no place for them!,0
can y'all females let this sink in for min? Moment of silence to get y'all bitches thinking right?,0
Y'all excited about that strip mall being built in Louisiana and Claiborne?? That bitch gone be in fiire!,0
Don't do em with my girl lol right. So when yall in threesomes does your girl eat the pussy too?,0
Real Men eat pussy but not yours ,0
"Fuck east st john and all they fans, familys ",0
"When people refer to their girlfriend as their """"bitch""",0
"Had to unfollow that bitch .. thot bitch got me fired from Sonic, she must've tweeted",0
"My brother is a bitch, pussy, faggot, etc.  you just like getting beat up don't you?""",0
"Lol bitch funny, i was over you from the min i tossed your ass to the curb",0
a bitch is all ears... My mama told me not to talk to bitches so..,0
"Aye nigga, who tryna white freestyle?",0
This bitch is looking dumber and dumber by the minute..,0
omg yall should see this bag of weed dog this bitch like a 0.3 fasho lmfaooooo,0
98% of women were sluts freshman year of college. Let these hoes be great,0
Lmao Dylan just got called a pussy by Mr O himself,0
 So you still rather have trash ass Geno Smith than Alex?!? You sick man U still cant tell Alex sucks? You blind man,0
Fuck the cowboys. My birthday in two days hoe!,0
Some of yall hoes nasty yall find out yall sharing or shared dick with a dirty ass female and still fuck the nigga,0
Been watching madea plays every night & singing ass bitches,0
"i dont wanna hear it, then hoes faker than Momma Dee's teeth",0
Ain't that a bitch,0
I Want You To Be Pussy Whipped,0
"Bro like I really enjoy like eating pussy from the back... It makes it more nasty, I like nasty haha, you like eating ass too",0
Every female owns a thong: If she wear thongs she a hoe lol both facts,0
you can't stop being a lil bitch can you??,0
 bitch get out dem feelings and get some new ,0
I'm suppose to eat yo booty bitch consider it charity ,0
go sit lil bitch ,0
"Too many """"lil niggas"""" on my TL.",0
"I'll beat the pussy up, that's a hook right thur",0
Rape? Cannibalism? You Won't Recognize The Original Versions Of These Fairy Tales,0
girls are fucking retarded my back started cramping up man; it's the double d's,0
"There's a difference between being actually crazy and aspiring crazy real shit . I can't stand """"fake crazy"""" bitches""",0
"If u ask me, every bitch gay or bi",0
"lesbian pussy taste like rainbow trout, Lets be honest",0
I hate a bitch that like to argue n shout,0
"I'm tired of your corny vines, ugly faces, and stupid voices my nigga",0
" lmfaoooo, bitch don't start now times up ",0
"FUCK YES, I DO! Send those illegal, wetbacks home!!!",0
Black bitches turn 60 buy a hat and act like Jesus forgot they was fucking niggas in the park,0
"Fuck driving stick, it's gay as fuck",0
I like how Virligio thinks I'm talking to hoes..HELL NAH! Lol my bad. I forgot you ain't got hoes like vdawg do,0
"Watching Attack of titan bro you a HAN for stealing my tweet, bitch ass nigga",0
"I ain't got no type, white bitches is the only thing that I like",0
buddy's normal your weird bitch,0
these hoes ain't loyal,0
All these hoes been passed around to a Cleveland niggah,0
: Buddy drug the whole train lmao good ... extra ass hoes; hate them NY hoes,0
then u might have to kill the bitch,0
Up making plays; can I have my slut bitch girlfriend u always rap about back yet?,0
"If yo pussy stank ; u wasn't raised correctly , lmao",0
you look like a scrotum,0
Everybody entitled to they own opinion tho and Not that bitch she need to shut up and sit the fuck down,0
"You fat bitches needa stop biting your lips when you take pictures. Y'all look hungry, not",0
"""fucking white people""""",0
every team has a bitch like this,0
If Beyonce and Kim Kardashian have no problem sucking their mans dick then you average looking broke bitches shouldn't neither,0
if u say ur a mermaid it obviously means ur pussy is fishy,0
When you go down to eat the pussy and it smells tangy,0
I was bout to say don't front bitch that shit a freeway,0
"A lot of women who claim they are yellow are actually red, color blind mother fuckas",0
J Cole is trash. I've been saying this for years. Fuck him,0
"About to ride my horse, to come fuck your bitch",0
When y'all hoes going to learn how to spell,0
"Yeah you played me, Yeah you got what you wanted. But jokes on you, You about to be a daddy bitch",0
Honesty is all I ask for; you ugly then a hoe then,0
When hoes feel like their photo didnt get enough favorites; that's me; thirsty ass,0
done wiith All these fuck niggas,0
And by a Canadian. Hey you fucking loser....how many will you adopt?,0
Yall so fuckin trash yo!!,0
man them niggas gonna win the skins trash,0
Boutta walk out on these hoes,0
"these bitches bound to get hurt, cause a lotta these niggas be playin ;hell yeah",0
null bruh they both alive thats hans bitch who died,0
Liking all my pictures to get a follow ass bitches,0
I might fuck around and fuck yo bitch,0
eat her ass when your steal her so you'll be a real ass nigga,0
Ooh! Bet you wooonnnttt stick dat hoe,0
Sleep over with guys doesn't mean we gonna fuck. TRUST ME you're a bitch for denying them pussy,0
You the Real MVP; that's wat ya bitch said when I finished ,0
The bad bitches are only bad until they start talking anyway. He Preaching,0
"I'm a pro at losing followers. Some people just can't handle my excessive use of the work """"cunt""""Mines cause I say fuck""",0
My bad she's a Puerto Rican fuck ,0
"pretty boy face , Awee thanks faggot",0
We out! Brooklyn bound wit this money. Feelin like Yung Jeezy in this bitch!,0
fuck you ugly lol show them teeth,0
bitch fuck u,0
the next time I see this bitch I'm beating her ass. job or not.,0
Bad bitches is the only thing that I lik,0
No yu can't get no money yu silly hoe..,0
These Niggaz bitches hiding behind gangs they ain't in,0
DONT Say Shit Else ! Just Stfu ! bitch we can do a lot more off this Twitter shit you can come see me,0
You little stupid ass bitch i ain't fuckin with you,0
i aint gone lie ; old heads say they see it in me so i figured; nah you just retarded,0
far right she resting on ol girl booty y'all funny as shit,0
Hoe fax = type yo bitch number in google to see if it pops up on back pagE,0
Bitch niggas pay for hoes just to lay with hoesrelax one night you'll pay to stay with hoes,0
Eat a lot of protein Eat a lot of pussy,0
"I hate when bitches do that """"who are you talking to"""" shit like clearly you;I be like """"BITCH WIT DA RED DOOR HOE""""",0
They not evn hoes in silence anymore;proud of it .... then want respect,0
When you fuck her GOOD she trip even more; good dick makes a bitch go crazy,0
"doesn't have a back story on how he started, he did it for pussy",0
Who that pussy wet for ?,0
You dammn Weed potheads are annoying af on Twitter; weed and pot are the same thing faggot,0
LMAO my bitch was listening to gospel music w. liquor in her hand weaaakkk,0
why amanda bitch ass eva cheat on fizz fine ass? i am geddit&theres more to a nigga than his looks.. Thought yall knew dat?,0
Cowboys win games during the regular season but when they get to the playoffs that trash af lol hating ass nigga,0
Niggas want a good girl but still wanna fuck with hoes but that ain't gone work. Gotta pick,0
Smh bitches are such haters !!! How dare they do this to her,0
Using y = mx + b to measure the slope of that ass girl,0
on my way to fuck ur bitch,0
Dnt blame niggas when a female see ya hoe ass ways. Go listen to some JT Money fruitcake,0
"Some of these chicks don;t want a man, they just want support. Tell that bitch to get a bra""",0
Spitting on people just shows you weren't raised right. In another words it's a bitch nigga trait.,0
This is why yo pussy stank,0
Kanye might be the first nigga to successfully save a hoe.,0
 Only goofy niggas simp over chicks with community pussy..,0
Always tryna degrade girls and shit & when really..pussy and ;ass is almost all yall think about so shuuutt iittt  Sometimes,0
 F**k it!!!!! I'm never wearing my headband again either!!!!!! but you don't hoop like a lil bitch tho...,0
"Crying over a guy on Thanksgiving? Nah bitch pick your head up, you making the turkey soggy",0
Good pussy be making a nigga have to regroup,0
Ion care about none of these bitches,0
Never seen so many perfect bitches til I made a Twitter,0
"fuck a #WCW dats my bitch , not my crush",0
"All I want is bitches,and your big boooty bitches",0
If Jennifer Hudson can lose weight anybody can you fat ass hoes,0
Stop giving a nigga pussy he stop actin like he care no true totally ...,0
An orangutan once tried to have sex with actress Julia Roberts.,0
Ever met a bitch that fucked with your nigga but was to pussy to admit it ?; A bitch for a bitch.,0
"Fuck a """"bad bitch"""" id rather have a good girl who's a freak just for me 10/10 times",0
When you try to smash but that pussy stank,0
"jarred Shut up, faggot.",0
""" I got a natural mean face"""" """"i be havin mean mugs and ion even be knowin"""" bitch shut the fuck up",0
All I want for my birthday is a female with a large buttocks.& Big booty hoe,0
Alyssa you ignoring me bitch but you better text me back cause I'm serious !& fuck u smokey,0
Shoot that nigga and his shorty bitch ,0
Iz no point in being jealous cuz dee hoes for everybody,0
food weed pussy lif,0
Oomf a fake bitch ass nigga point blank period.,0
Kyrie fast than a bitch with the ball look like you out there lol,0
Sqquad you a bitch & they need to lock yo ass up for sayin some stupid shit like that,0
No one likes i n d i r e c t ass bitches.,0
Wish tonight was purge so I can get to hunting Shut yo hoe ass up,0
what if I tell y'all I'm trying to turn up for bayou classic drinker bitch you got the id.,0
bitch gotta work all hard to clean that shit without ripping her skin,0
My friends you all are some insensitive bitches,0
I'm tryna get some snow day dick,0
Like why tf is this bitch following me ?,0
bitch what you gay for then,0
I aint got no type ... Bad bitches is the only thing that I like,0
Throw that ass in a sphere,0
Niggas is hoes man I swear,0
u a hoe broski u gotta look at dat shit,0
Lil bitty bitch,0
Shawty wanna charge for pussy but I'm like whoa now&,0
turnt her on to cash she use to fuck for free,0
bitch im weakkk vic,0
"Fuck The Girls , Peep How He Change When A Nigga Squared Up Against Him",0
Shawty wanna charge for pussy but I'm like whoa now turnt her on to cash she use to fuck for free,0
It's so wonderful when you meet a dude that's not a bitch ass nigga these days,0
we don't love these hoes,0
I'm 2 much for these niggas and 3 much for these hoes,0
Jordyn stays making fun of how I eat like a little bitch,0
grow up bitch,0
Scrappy always on the reunion with hella hoes;real nigga lmao,0
if he has a girlfriend don't be a hoe and text him yanno who u r,0
Aight hoe ass nigga,0
he's a nigger so fuck him,0
depressed but I got hoes that kepp me going ,0
 You still fuck ya ex?;na that bitch corny,0
"I never get on twitter but when I do, I get in bitch fights with niggas. not even females bruh.",0
where the fuck is your top lip ; in my pussy,0
This mane the skinny bitches was playin lol I had too take my weight class too another level,0
Lemme find out you niggaz letting bitches shit on yo faces,0
niggas is weirdos,0
"""cigarettes are so gross"""" -half the bitches that smoke cigarettes",0
Niggas talk more then bitches these days,0
now bitch you know..,0
Fuck them texts! & it's a movement.,0
 I DONT FUCK YOUUU u lil stupid ass bitch I AINT FUCKIN WIT YOU u lil dumbass bitch I AINT FUCKIN WIT YOU,0
I'll smack a hoe,0
These hoes ain't loyal [i would know cause I'm a hoe] but my fans damn sure are,0
 I dont trust girls; cant trust these hoes,0
Jose is so fucking mean to me like damn bitch lol; fuck you,0
bitch im back at home now.,0
Niggas don't know bout them happy hour hoes,0
My favorite time of da day HAPPY HOUR!!!when the bad bitches come out and the ok hoes at home doing make-up,0
"Gwyneth Paltrow you ugly ass big bird looking bitch, shut the fuck up. That's pretty much IN YOUR FACE!
Bravo!""",0
Why u can't just love? Because we don't love these hoes,0
Y'all bitches be popping babies out like it's a sport. STOP,0
 bitches be set hoppin like bitch get your life for u get beat up lmao,0
That pussy so wet she gotta dry outside. stop telling my business,0
"Asians have short beds, my feet are hanging off the edge of the bed; cuddle me bitch I'm right beside you""",0
Congrats to kim k .this a great day for hoes everywhere,0
Imma pull up on you eat on that pussy and dip,0
If you can't get pussy without lying to a girl you wack; don't hate. appreciate.,0
pussy prolly taste like heaven,0
Every jawn on here been tryna have they pussy cop a feel on Donte's peen,0
HalfJewish: Stills get no pussy**,0
what class you in right now? I need my headphones for seventh period I'm serious bitch ass,0
" I'm a faggot"""" I agree""",0
"FOREAL, fuck dat bitch",0
Don't tell me what to do bitch,0
Fat people are not disciplined enough to get a higher degree.,0
couple's fucked-up presex ritual involves tucking both kids into bed,0
law enforcement questions why alton sterling was even black in the first place,0
"twitter introduces red x mark to verify users it's okay to harass the president can suck my big fat dick,' says rex tillerson in veiled attack on trump",0
"well if you aren't rich and white, it's obviously your fault and you're lazy.",0
"yeah right, fuck this guy ruining our youth, what a fucking asshole.",0
"Possibly not, but as we all know *y'all asian cunts look the same*.",0
You can’t face the problem if the problem is your fucking face.,0
"Go dissapoint the next bitch,I am busy",0
"I don't have the energy to pretend to like you today, piece of shit",0
"Me pretending to listen should be enough for you. Nobody cares about you, you little shit.",0
"I hope the bus you threw me under swerves to hit you on the sidewalk, and that's how you die bitch",0
"Psychologist can’t fix stupid like you, apparently it’s not a disorder that is recognized.",0
"You're definitely an intolerant homophobe. Judging from your headline, I'd be willing to diagnose you as a racist too. And having leapt to those two conclusions, I'd bet dollars to donuts you beat your girlfriend. You make me sick.",0
your face makes me wanna learning boxing.,0
"I see, yeah, one of those fucking smug pussy vegetarians.",0
"Let's be real, these are probably just a bunch of Bangladeshi self-hating homosexuals and none of this has anything to do with Islam.",0
"yeah right, fuck this guy ruining our youth, what a fucking asshole.",0
"Omg, stop manspreading you misogynist!",0
you are a shithead,0
